Date,Post title,Local asset filename,Alt text,Status
2026/08/10 10:00,"OSA recovery: the pattern matters",osa-recovery-observation.png,"A faceless recovery room scene with pulse oximetry and respiratory monitoring prepared for a patient with obstructive sleep apnea.",Embedded by media URL
2026/08/10 13:00,"Cefazolin redosing is a clock check",cefazolin-prophylaxis.png,"A faceless anesthesia medication preparation area with a surgical antibiotic timer and IV medication tray.",Embedded by media URL
2026/08/10 18:30,"The question does not end at the correct letter",aug10-question-rationale-study-desk.png,"A faceless study desk with a board style question, handwritten rationale notes, and a laptop showing study material.",Embedded by media URL
2026/08/11 10:00,"Delirium prevention starts before emergence",postoperative-delirium-prevention.png,"A quiet, faceless postoperative care environment with orientation aids, glasses, and a recovery chair prepared for an older adult.",Embedded by media URL
2026/08/11 13:00,"Tourniquet release changes the room",tourniquet-release.png,"A faceless orthopedic surgery setup with a limb tourniquet, anesthesia monitor, and prepared ventilation equipment.",Embedded by media URL
2026/08/11 18:30,"Keep an error log that asks for a decision",aug11-error-log-study-habit.png,"A faceless study workspace with a notebook labeled by topic, colored tabs, and a focused board review session.",Embedded by media URL
2026/08/12 10:00,"BCIS: notice the timing",bone-cement-implantation-syndrome.png,"A faceless orthopedic operating room scene with anesthesia monitoring during hip arthroplasty preparation.",Embedded by media URL
2026/08/12 13:00,"ETT cuff pressure: measure it",ett-cuff-pressure.png,"A faceless airway management setup with an endotracheal tube cuff manometer and sterile airway supplies.",Embedded by media URL
2026/08/12 18:30,"Study the blueprint, then study the patient",aug12-blueprint-study-planning.png,"A faceless study planning desk with a CAA exam content outline, calendar blocks, and organized clinical notes.",Embedded by media URL
2026/08/13 10:00,"PONV: build the plan to the patient",ponv-risk-prevention.png,"A faceless perioperative assessment desk with an antiemetic plan, risk checklist, and recovery monitoring supplies.",Embedded by media URL
2026/08/13 13:00,"An arterial waveform can be wrong in a useful way",arterial-line-damping.png,"A faceless anesthesia monitor displaying an arterial pressure waveform with a transducer setup and fast flush device.",Embedded by media URL
2026/08/13 18:30,"Board prep should sound like the work you do",aug13-caa-focused-exam-prep.png,"A faceless anesthesiologist assistant study scene with an anesthesia workstation, clinical notes, and a focused preparation session.",Embedded by media URL
2026/08/14 10:00,"SGLT2 medications: ask before the first incision",sglt2-edka-perioperative-planning.png,"A faceless preoperative medication reconciliation scene with a clinician reviewing a diabetes medication list.",Embedded by media URL
2026/08/14 13:00,"Airway fire prevention is a shared setup",airway-fire-prevention.png,"A faceless airway surgery setup with a laser safe endotracheal tube, suction, wet sponges, and anesthesia equipment.",Embedded by media URL
2026/08/14 18:30,"Use the source as a study tool, not a decoration",aug14-cited-source-learning.png,"A faceless study desk with a clinical guideline open beside a question rationale and highlighted notes.",Embedded by media URL
2026/08/15 10:00,"TIVA: treat the delivery system as part of the anesthetic",tiva-monitoring.png,"A faceless total intravenous anesthesia setup with organized infusion pumps, labeled tubing, and a patient monitor.",Embedded by media URL
2026/08/15 13:00,"A block wearing off should not be a surprise",regional-block-rebound-pain.png,"A faceless regional anesthesia discharge planning scene with an arm sling, written medication schedule, and ice pack.",Embedded by media URL
2026/08/15 18:30,"Practice and review are different jobs",aug15-practice-versus-review.png,"A faceless split study workspace with a timed question set on one side and a detailed review notebook on the other.",Embedded by media URL
2026/08/16 10:00,"Urgent DOAC cases: start with the clock",urgent-doac-perioperative-planning.png,"A faceless preoperative planning desk with a clock, anticoagulant medication list, and coordinated surgical plan.",Embedded by media URL
2026/08/16 13:00,"Low pressure alarm: work from patient to machine",anesthesia-machine-low-pressure.png,"A faceless anesthesia machine and breathing circuit with a low pressure alarm, self inflating bag, and airway equipment.",Embedded by media URL
