Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikTok"
2026/08/10 10:00,"OSA recovery: the pattern matters.

A patient with known OSA has repeated airway obstruction and hypoxemia after PACU discharge criteria are otherwise nearly met. What is the best next step?

A. Send the patient home after one normal oxygen reading at rest in recovery
B. Escalate monitoring and consider CPAP if obstruction persists
C. Give a sedative so the patient can rest
D. Remove oxygen and reassess the airway in ten minutes

Drop your answer below 👇




Answer: B.

A single reassuring number is not the same as a reassuring recovery pattern. The ASA guidance emphasizes continuous pulse oximetry for patients who remain at increased risk and consideration of CPAP or noninvasive positive pressure when frequent or severe obstruction or hypoxemia occurs. The bedside plan still depends on the procedure, opioid exposure, baseline OSA severity, and the local monitoring pathway.

Save this for your next review block. Then open the source and make the rule your own.

Source: ASA Practice Guidelines for Perioperative Management of Obstructive Sleep Apnea
https://www.asahq.org/~/media/sites/asahq/files/public/resources/standards-guidelines/practice-guidelines-for-the-perioperative-management-of-patients-with-obstructive-sleep-apnea.pdf

#CAA #SAA #AnesthesiaEducation #BoardReview #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/osa-recovery-observation.png,,,A faceless recovery room scene with pulse oximetry and respiratory monitoring prepared for a patient with obstructive sleep apnea.,,,,,
2026/08/10 13:00,"Cefazolin redosing is a clock check.

Quick board pearl: surgical prophylaxis is not finished once the first antibiotic is in. For cefazolin, redosing is generally considered when the procedure reaches four hours from the start of the preoperative dose or when there is excessive blood loss. The exact timing should follow the drug, patient factors, and your institutional policy.

What belongs on the intraoperative checklist for a long case?

Answer below 👇




The antibiotic clock, not just the first dose.

Source: ASHP Clinical Practice Guidelines for Antimicrobial Prophylaxis in Surgery
https://www.ashp.org/-/media/assets/policy-guidelines/docs/therapeutic-guidelines/therapeutic-guidelines-antimicrobial-prophylaxis-surgery.ashx?hash=A15B4714417A51A03E5BDCAC150B94EAF899D49B&la=en

#AntibioticProphylaxis #CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/cefazolin-prophylaxis.png,,,A faceless anesthesia medication preparation area with a surgical antibiotic timer and IV medication tray.,,,,,
2026/08/10 18:30,"The question does not end at the correct letter.

The useful part of a missed question is not the moment you see the right letter. It is the moment you can explain why the other choices lost. One distractor may be unsafe. Another may be true in a different clinical setting. A third may be the right drug at the wrong dose or time. That is the kind of separation board questions ask you to make under pressure.

When you review today, choose one missed item and write one sentence for every option. The goal is not to memorize the key. The goal is to make the next similar case feel familiar.

#BoardReview #CAA #SAA #StudySmarter #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/aug10-question-rationale-study-desk.png,,,"A faceless study desk with a board style question, handwritten rationale notes, and a laptop showing study material.",,,,,
2026/08/11 10:00,"Delirium prevention starts before emergence.

An older adult is at high risk for postoperative delirium. Which perioperative habit best belongs in the prevention plan?

A. Treat confusion as an expected effect of anesthesia
B. Use a structured prevention bundle across recovery
C. Give benzodiazepines at the first sign of agitation
D. Wait for severe delirium before changing the room

Drop your answer below 👇




Answer: B.

Delirium prevention is not one medication or one PACU conversation. Multicomponent, nonpharmacologic prevention programs are the most consistently supported approach. The anesthetic plan is one part of a broader perioperative team effort that also includes avoiding deliriogenic medications when feasible and helping the patient reorient after surgery.

Save this for your next review block. Then open the source and make the rule your own.

Source: American Geriatrics Society postoperative delirium guideline
https://pmc.ncbi.nlm.nih.gov/articles/PMC5901697/

#PerioperativeCare #CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/postoperative-delirium-prevention.png,,,"A quiet, faceless postoperative care environment with orientation aids, glasses, and a recovery chair prepared for an older adult.",,,,,
2026/08/11 13:00,"Tourniquet release changes the room.

A tourniquet release is a predictable physiologic transition, not a surprise. After a prolonged lower extremity tourniquet, expect a transient influx of carbon dioxide and metabolites with changes in hemodynamics. The patient’s reserve, tourniquet time, ventilation, and surgical context determine how visible those changes become.

What should you do before release?

Answer below 👇




Look at the patient, the monitor trend, ventilation, and team timing before the clamp comes down.

Source: Tourniquet application during anesthesia: What we need to know
https://pmc.ncbi.nlm.nih.gov/articles/PMC5187604/

#OrthopedicAnesthesia #CAA #SAA #ClinicalPearl #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/tourniquet-release.png,,,"A faceless orthopedic surgery setup with a limb tourniquet, anesthesia monitor, and prepared ventilation equipment.",,,,,
2026/08/11 18:30,"Keep an error log that asks for a decision.

An error log should be more than a graveyard for missed questions. Give each miss a short label: knowledge gap, stem reading error, timing error, or changed mind without a reason. Then write the decision rule you want to remember next time. For example: when the waveform and clinical story conflict, verify the measurement system before treating the number.

That one sentence turns a vague memory into something you can use on the next set. Review the log weekly and let it choose the next ten questions for you.

#StudyHabits #CAA #SAA #BoardReview #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/aug11-error-log-study-habit.png,,,"A faceless study workspace with a notebook labeled by topic, colored tabs, and a focused board review session.",,,,,
2026/08/12 10:00,"BCIS: notice the timing.

During cementation in hip arthroplasty, oxygen saturation and end tidal carbon dioxide fall while blood pressure drops abruptly. What is the most useful first interpretation?

A. Assume this timing is unrelated to the current surgical step or event
B. Call possible BCIS and support oxygenation and circulation
C. Wait for a chest radiograph before any intervention
D. Give a sedative and observe for another ten minutes

Drop your answer below 👇




Answer: B.

The timing is the clue. Bone cement implantation syndrome may present around cementation, prosthesis insertion, joint reduction, or tourniquet release, with hypoxemia, hypotension, arrhythmia, or cardiovascular collapse. The response is immediate recognition, clear communication, high inspired oxygen, and supportive hemodynamic management tailored to the patient and the local emergency protocol.

Save this for your next review block. Then open the source and make the rule your own.

Source: Bone Cement Implantation Syndrome: Key Concepts for Anesthesiologists
https://pubmed.ncbi.nlm.nih.gov/30694541/

#OrthopedicAnesthesia #CAA #SAA #CriticalEvents #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/bone-cement-implantation-syndrome.png,,,A faceless orthopedic operating room scene with anesthesia monitoring during hip arthroplasty preparation.,,,,,
2026/08/12 13:00,"ETT cuff pressure: measure it.

A pilot balloon can feel reassuring and still be misleading. A cuff manometer gives the number. A commonly cited target range is 20 to 30 cm H2O, balancing the need for a seal with the aim of limiting excessive tracheal wall pressure. Recheck when case conditions change, particularly when nitrous oxide, positioning, or airway pressure can change the system.

What is the better habit after intubation?

Answer below 👇




Use a manometer. Feeling the pilot balloon is not the same as knowing the pressure.

Source: Endotracheal Tube Cuff Pressure Assessment study
https://pubmed.ncbi.nlm.nih.gov/32199655/

#AirwayManagement #CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/ett-cuff-pressure.png,,,A faceless airway management setup with an endotracheal tube cuff manometer and sterile airway supplies.,,,,,
2026/08/12 18:30,"Study the blueprint, then study the patient.

It is easy to keep studying the topics that already feel comfortable. It also feels productive. A blueprint guided plan is a little less flattering and far more useful. It asks which clinical areas are weighted, where you are slow, and what you avoid when you build your own quiz. That is where the next block of study time belongs.

Open the content outline before your next session. Pick one domain you have been postponing, then do a short mixed set that forces you to retrieve it alongside familiar topics.

#NCCAA #CAA #SAA #BoardPreparation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/aug12-blueprint-study-planning.png,,,"A faceless study planning desk with a CAA exam content outline, calendar blocks, and organized clinical notes.",,,,,
2026/08/13 10:00,"PONV: build the plan to the patient.

A young adult presents for laparoscopic surgery. She is a nonsmoker with motion sickness, nausea after a prior anesthetic, and likely postoperative opioid use. Which plan best fits her risk?

A. Give one antiemetic as the case is ending
B. Use risk matched multimodal prevention
C. Treat only if nausea develops in recovery
D. Skip prophylaxis because she is otherwise healthy

Drop your answer below 👇




Answer: B.

Postoperative nausea and vomiting is not simply a longest drug list problem. Patient risk, procedure, anesthetic choices, and planned analgesia all matter. The consensus guideline supports baseline risk reduction plus multimodal prophylaxis for patients with meaningful risk. The exact agents and doses should follow patient factors and local protocol.

Save this for your next review block. Then open the source and make the rule your own.

Source: Fourth Consensus Guidelines for the Management of Postoperative Nausea and Vomiting
https://pubmed.ncbi.nlm.nih.gov/32467512/

#PONV #CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/assets/2026-08-10-to-16/ponv-risk-prevention.png,,,"A faceless perioperative assessment desk with an antiemetic plan, risk checklist, and recovery monitoring supplies.",,,,,
